eps,theta,N,T,bilevel_obj_proposed,bilevel_obj_linearforN,bilevel_obj_wcvar,bilevel_obj_bonferroni,exact_profit_proposed,exact_profit_linearforN,exact_profit_wcvar,exact_profit_bonferroni,time_proposed,time_linearforN,time_wcvar,time_bonferroni,time_linearforN_rel,time_wcvar_rel,time_bonferroni_rel,reliability_proposed,reliability_linearforN,reliability_wcvar,reliability_bonferroni,time_proposed_F,time_linearforN_F,time_wcvar_F,time_bonferroni_F,time_proposed_float,time_linearforN_float,time_wcvar_float,time_bonferroni_float,gap_proposed,gap_linearforN,gap_wcvar,gap_bonferroni,Nsolved_proposed,Nsolved_linearforN,Nsolved_wcvar,Nsolved_bonferroni,bilevel_obj_exact_profit_diff_proposed,bilevel_obj_exact_profit_diff_linearforN,bilevel_obj_exact_profit_diff_wcvar,bilevel_obj_exact_profit_diff_bonferroni,reliability_exact
0.05,0.01,50,4,2.2073947710373334,2.2203007510403214,2.240044319172125,3.8042942973894,2.0718549667914923,2.0952966383579485,2.14154990313763,0.8622456191357736,6.8340000000000005(0.0015766666666666668% 30/30),430.86321428571426(0.0% 28/30),294.56583333333333(0.0% 24/30),0.078(0.005046666666666667% 30/30),63.04700238304276,43.102989952199785,0.01141352063213345,94.905,95.3,95.13749999999999,100.0,5.633333333333334,85.0,91.66666666666667,0.0,6.8340000000000005,430.86321428571426,294.56583333333333,0.078,0.0015766666666666668,0.0,0.0,0.005046666666666667,30,28,24,30,0.13553980424584106,0.12500411268237246,0.09849441603449466,2.9420486782536264,94.70333333333333
0.05,0.01,50,8,3.2665809068970333,3.2665809080105004,3.2606296960156667,12.827244032631432,3.184157437008165,3.2216304290738047,3.154147258598842,0.771819840084574,36.84233333333334(0.00173% 30/30),3200.451666666666(2442.35193% 30/30),3332.343888888889(2206.6884222222225% 18/30),0.6143333333333332(0.010443333333333334% 30/30),86.8688646213142,90.44877420600093,0.016674658680684348,90.8,90.8,90.7625,100.0,29.633333333333333,666.8,1244.388888888889,0.0,36.84233333333334,3200.451666666666,3332.343888888889,0.6143333333333332,0.00173,2442.35193,2206.6884222222225,0.010443333333333334,30,30,18,30,0.08242346988886814,0.04495047893669461,0.1064824374168249,12.05542419254686,91.04666666666665
0.05,0.01,50,12,4.058764372873833,3.948746575985036,4.0898026480831,,3.887083601497186,3.8064378650943276,4.048956092384286,,109.95733333333332(0.0% 30/30),3600.0263333333332(3957.8740214285713% 28/30),3355.0049999999997(2597.05109% 10/30),nan(nan% 0/30),32.740211354707284,30.511880365717612,,88.24416666666667,88.5169642857143,87.53,,66.2,1882.8333333333333,2917.4166666666665,,109.95733333333332,3600.0263333333332,3355.0049999999997,,0.0,3957.8740214285713,2597.05109,,30,28,10,0,0.1716807713766473,0.1423087108907086,0.04084655569881375,,88.55916666666667
0.05,0.01,50,16,4.862071538110344,4.948705281781333,3.4813727625110626,,4.696268125177831,4.858399604328487,3.4782589722355475,,371.2055172413794(0.0% 29/30),3600.01(3248.1373083333333% 12/30),3379.6754545454546(4537.6342625% 8/30),nan(nan% 0/30),9.69815865548966,9.104593810085515,,84.38275862068967,84.14375,85.27499999999999,,242.20689655172413,2916.233333333333,3600.0,,371.2055172413794,3600.01,3379.6754545454546,,0.0,3248.1373083333333,4537.6342625,,29,12,8,0,0.16580341293251455,0.09030567745284653,0.003113790275515088,,84.77931034482759
0.05,0.01,50,20,5.313520491285932,4.773353343755774,2.0256790978668358,,5.2687298915035266,4.7067938675826975,1.6496930826517409,,669.9426666666667(67.23576% 30/30),3600.0106666666666(7393.044074999999% 8/30),3600.0600000000004(124637.6383% 7/30),nan(nan% 0/30),5.373610080066553,5.3736837182087225,,81.24583333333332,82.11250000000001,79.59285714285714,,562.1333333333333,3399.5333333333333,3148.714285714286,,669.9426666666667,3600.0106666666666,3600.0600000000004,,67.23576,7393.044074999999,124637.6383,,30,8,7,0,0.04479059978240785,0.06655947617307778,0.37598601521509467,,81.3475
0.05,0.01,50,24,6.611477620512793,5.895825906244285,1.9755403692050202,,6.611477602017016,5.895825906213989,2.076713558104643,,1256.166666666667(202.45530689655172% 29/30),3600.007(3630.782671428572% 7/30),3600.0840000000003(20949.344900000004% 5/30),nan(nan% 0/30),2.865867321215337,2.865928618813851,,78.04396551724136,76.08928571428571,77.885,,933.5,3103.5666666666666,3600.0,,1256.166666666667,3600.007,3600.0840000000003,,202.45530689655172,3630.782671428572,20949.344900000004,,29,7,5,0,1.8495778487325925e-08,3.0296019661234046e-11,-0.10117318889962332,,78.04396551724136
0.05,0.05,50,4,2.741041094667133,2.742703900348932,2.691200476918913,,2.741041094683269,2.742703897790984,2.6912004769234286,,7.734999999999999(0.0% 30/30),332.43275862068964(0.0% 29/30),265.71521739130435(0.0% 23/30),nan(nan% 0/30),42.977732206941134,34.352322868946914,,99.85916666666667,99.86551724137931,99.86304347826089,,5.933333333333334,81.44827586206897,103.08695652173913,,7.734999999999999,332.43275862068964,265.71521739130435,,0.0,0.0,0.0,,30,29,23,0,-1.6135063655535002e-11,2.5579467662791345e-09,-4.515817671492938e-12,,99.85916666666667
0.05,0.05,50,8,4.166971057528366,4.166971057631767,4.201272021144143,,4.166971057500498,4.1669710572131855,4.20127202115185,,29.544666666666668(0.00022333333333333333% 30/30),2595.566(1033.1006433333334% 30/30),2906.472857142857(1091.2549904761904% 21/30),nan(nan% 0/30),87.8522688810163,98.37555082054934,,99.72916666666669,99.72916666666669,99.71190476190478,,24.966666666666665,554.1,1139.047619047619,,29.544666666666668,2595.566,2906.472857142857,,0.00022333333333333333,1033.1006433333334,1091.2549904761904,,30,30,21,0,2.7868329866009845e-11,4.185806960303277e-10,-7.708986887997698e-12,,99.72916666666669
0.05,0.05,50,12,5.240280194855901,5.19191484507788,4.821270821721666,,5.2402801949069575,5.191914817594957,4.821270821710021,,100.95766666666665(0.00368% 30/30),3572.0637931034485(2362.953368% 25/30),3279.779(1909.53085% 6/30),nan(nan% 0/30),35.381798243192186,32.48667593347707,,99.65166666666666,99.645,99.66666666666667,,56.733333333333334,2190.862068965517,2566.1,,100.95766666666665,3572.0637931034485,3279.779,,0.00368,2362.953368,1909.53085,,30,25,6,0,-5.1057883846776045e-11,2.748292335041924e-08,1.1645351349898192e-11,,99.65166666666666
0.05,0.05,50,16,6.097736502879967,5.8592755089072,6.433116249520334,,6.097736494868802,5.859275508950722,6.281195008761476,,462.031(53.999493333333334% 30/30),3600.0089999999996(2457.2384% 10/30),3588.749(1969.6643333333334% 6/30),nan(nan% 0/30),7.791704452731525,7.767333793619908,,99.52333333333333,99.495,99.6375,,165.63333333333333,3240.633333333333,3542.7,,462.031,3600.0089999999996,3588.749,,53.999493333333334,2457.2384,1969.6643333333334,,30,10,6,0,8.01116482781102e-09,-4.3521186654515986e-11,0.15192124075885646,,99.52333333333333
