eps,theta,N,T,bilevel_obj_proposed,bilevel_obj_linearforN,bilevel_obj_wcvar,bilevel_obj_bonferroni,exact_profit_proposed,exact_profit_linearforN,exact_profit_wcvar,exact_profit_bonferroni,time_proposed,time_linearforN,time_wcvar,time_bonferroni,time_linearforN_rel,time_wcvar_rel,time_bonferroni_rel,reliability_proposed,reliability_linearforN,reliability_wcvar,reliability_bonferroni,time_proposed_F,time_linearforN_F,time_wcvar_F,time_bonferroni_F,time_proposed_float,time_linearforN_float,time_wcvar_float,time_bonferroni_float,gap_proposed,gap_linearforN,gap_wcvar,gap_bonferroni,Nsolved_proposed,Nsolved_linearforN,Nsolved_wcvar,Nsolved_bonferroni,bilevel_obj_exact_profit_diff_proposed,bilevel_obj_exact_profit_diff_linearforN,bilevel_obj_exact_profit_diff_wcvar,bilevel_obj_exact_profit_diff_bonferroni,reliability_exact
0.05,0.05,50,20,7.1546327600009665,7.598940240348333,3.717510194216867,,7.154632760065434,7.598940240375573,2.955427378520931,,1013.093(183.57197666666664% 30/30),3600.0029999999997(2557.275666666667% 3/30),3486.5483333333336(6137.9720099999995% 12/30),nan(nan% 0/30),3.55347732143051,3.441488918917941,,99.4175,99.44166666666668,99.46666666666668,,831.7666666666667,3461.633333333333,3203.1666666666665,,1013.093,3600.0029999999997,3486.5483333333336,,183.57197666666664,2557.275666666667,6137.9720099999995,,30,3,12,0,-6.446700950846206e-11,-2.723924789430991e-11,0.7620828156959355,,99.4175
0.05,0.05,50,24,8.780900906314415,10.67589751106,3.768457265938386,,8.78090090630807,10.675897511243846,3.861505249134948,,1249.3780000000002(44.0322% 29/30),3600.000333333334(1883.6000999999999% 1/30),3600.052857142857(14174.936321428571% 14/30),nan(nan% 0/30),2.8814340682590323,2.8814761082257387,,99.26896551724138,99.575,99.25714285714285,,798.4666666666667,3519.8333333333335,3386.5714285714284,,1249.3780000000002,3600.000333333334,3600.052857142857,,44.0322,1883.6000999999999,14174.936321428571,,29,1,14,0,6.342635229288887e-12,-1.8384582745056832e-10,-0.09304798319656268,,99.26896551724138
0.025,0.01,50,4,2.4016753323355666,2.4016866399682,2.33210443113955,8.405508896999832,2.4016866397780583,2.4016866392653333,2.3321044311447023,0.5131256383995954,2.5529999999999995(0.005063333333333334% 30/30),75.93699999999998(0.0% 30/30),67.70399999999998(0.0% 20/30),0.34400000000000003(0.00235% 30/30),29.744222483352917,26.51938895417156,0.1347434390912652,97.66333333333334,97.66333333333334,97.45375,100.0,1.5666666666666667,25.966666666666665,29.15,0.0,2.5529999999999995,75.93699999999998,67.70399999999998,0.34400000000000003,0.005063333333333334,0.0,0.0,0.00235,30,30,20,30,-1.1307442492077454e-05,7.028666315633813e-10,-5.152123172535994e-12,7.892383258600239,97.66333333333334
0.025,0.01,50,8,3.5719510880421,3.5496826523228964,3.2902746819220563,,3.5719510889802053,3.5496826548299847,3.293368679243063,,10.956666666666667(0.01429666666666667% 30/30),744.7072413793104(178.40563103448278% 29/30),454.489375(0.0% 16/30),nan(nan% 0/30),67.96841266011351,41.48062442957104,,95.76083333333332,95.70258620689656,96.37343750000001,,8.933333333333334,134.24137931034483,1679.5625,,10.956666666666667,744.7072413793104,454.489375,,0.01429666666666667,178.40563103448278,0.0,,30,29,16,0,-9.381055932067284e-10,-2.5070878859535555e-09,-0.003093997321006752,,95.76083333333332
0.025,0.01,50,12,4.419922099339333,4.382318839320862,4.913853328603,,4.419922100657029,4.382318840362765,4.913853328579987,,27.52766666666667(0.012433333333333333% 30/30),1633.570344827586(625.4660241379311% 29/30),676.0466666666666(0.0% 3/30),nan(nan% 0/30),59.34285548457622,24.5588075027548,,94.59416666666668,94.58275862068966,95.10833333333333,,25.3,579.7931034482758,305.3333333333333,,27.52766666666667,1633.570344827586,676.0466666666666,,0.012433333333333333,625.4660241379311,0.0,,30,29,3,0,-1.3176950937795104e-09,-1.0419022579565628e-09,2.3012702854430245e-11,,94.59416666666668
0.025,0.01,50,16,5.148844124665799,5.10386481956875,4.555733268506333,,5.1488440986544015,5.1038648214973135,4.588575489227014,,44.96900000000001(0.011943333333333334% 30/30),3074.3251724137926(1882.1171892857146% 28/30),1643.7816666666668(0.0% 6/30),nan(nan% 0/30),68.36543335217132,36.55366289369714,,92.55416666666666,92.44464285714285,92.87083333333334,,39.733333333333334,1450.0344827586207,1620.3333333333333,,44.96900000000001,3074.3251724137926,1643.7816666666668,,0.011943333333333334,1882.1171892857146,0.0,,30,28,6,0,2.6011399197519344e-08,-1.928563959323932e-09,-0.0328422207206811,,92.55416666666666
0.025,0.01,50,20,5.731639539590233,5.615753357183864,0.2405356761065,,5.728592104491409,5.615753359057915,0.48176826844431253,,73.87366666666665(0.008246666666666668% 30/30),3353.30923076923(1948.0214409090906% 22/30),1621.46(0.0% 1/30),nan(nan% 0/30),45.39248398079465,21.949093271846987,,91.09083333333332,90.62840909090909,88.05,,62.56666666666667,2320.1153846153848,3600.0,,73.87366666666665,3353.30923076923,1621.46,,0.008246666666666668,1948.0214409090906,0.0,,30,22,1,0,0.003047435098826264,-1.874051136496746e-09,-0.24123259233781252,,91.09083333333332
0.025,0.01,50,24,6.950736831579202,6.813248789545056,,,6.950736812096578,6.813248791380188,,,106.09799999999997(0.036930000000000004% 30/30),3573.184827586207(2557.7174166666673% 18/30),nan(nan% 0/30),nan(nan% 0/30),33.67815441936896,,,89.26333333333334,88.92083333333333,,,88.2,3180.793103448276,,,106.09799999999997,3573.184827586207,,,0.036930000000000004,2557.7174166666673,,,30,18,0,0,1.948262366250712e-08,-1.8351330825320626e-09,,,89.26333333333334
0.025,0.05,50,4,4.5198969506656335,4.479992890336786,4.434679748137683,,4.519896950672038,4.479992890337361,4.434679748105824,,3.393666666666667(0.0% 30/30),39.34785714285714(0.00027142857142857144% 28/30),38.04421052631579(0.0% 19/30),nan(nan% 0/30),11.594496751652235,11.210355719374064,,100.0,100.0,100.0,,2.1333333333333333,20.107142857142858,17.68421052631579,,3.393666666666667,39.34785714285714,38.04421052631579,,0.0,0.00027142857142857144,0.0,,30,28,19,0,-6.403870026853535e-12,-5.759995655044544e-13,3.186005845110996e-11,,100.0
0.025,0.05,50,8,7.020861839155566,7.0208618391491,7.2692883370765,,7.020861839172059,7.020861839148385,7.269288337087883,,10.775(0.008700000000000001% 30/30),208.1(0.0% 30/30),139.15333333333334(0.0% 12/30),nan(nan% 0/30),19.31322505800464,12.914462490332559,,100.0,100.0,100.0,,9.533333333333333,85.56666666666666,396.0833333333333,,10.775,208.1,139.15333333333334,,0.008700000000000001,0.0,0.0,,30,30,12,0,-1.6493266012200062e-11,7.143322970174874e-13,-1.1384300909374664e-11,,100.0
0.025,0.05,50,12,8.790635074968002,8.803479478248068,8.868752033001,,8.790635074966383,8.803479475628835,8.868752032979767,,16.753666666666664(0.0051066666666666665% 30/30),609.505172413793(7.586206896551724e-05% 29/30),347.2866666666667(6.666666666666666e-05% 3/30),nan(nan% 0/30),36.38040463264518,20.72899464793777,,100.0,100.0,100.0,,15.733333333333333,214.86206896551724,324.0,,16.753666666666664,609.505172413793,347.2866666666667,,0.0051066666666666665,7.586206896551724e-05,6.666666666666666e-05,,30,29,3,0,1.6169880249587246e-12,2.6192334431619925e-09,2.1232793301351194e-11,,100.0
0.025,0.05,50,16,10.805033603048,10.856165776664927,9.739494585816999,,10.805033603056419,10.823916562023522,9.7394945857811,,29.198333333333334(0.004713333333333333% 30/30),1293.951785714286(81.31379642857144% 28/30),965.47(0.031099999999999996% 2/30),nan(nan% 0/30),44.31594676799883,33.06592842057195,,100.0,100.0,100.0,,27.333333333333332,477.92857142857144,842.5,,29.198333333333334,1293.951785714286,965.47,,0.004713333333333333,81.31379642857144,0.031099999999999996,,30,28,2,0,-8.420227478230421e-12,0.03224921464140878,3.589928354585936e-11,,100.0
0.025,0.05,50,20,13.088953151028166,13.068622775908484,12.269896179835,,13.088953151063862,13.068622770208657,12.269896179829395,,38.52766666666666(0.016006666666666666% 30/30),1960.4879310344827(87.22170689655171% 29/30),2035.0149999999999(0.0% 2/30),nan(nan% 0/30),50.885197590505946,52.81957554311621,,100.0,100.0,100.0,,36.266666666666666,981.3103448275862,2007.5,,38.52766666666666,1960.4879310344827,2035.0149999999999,,0.016006666666666666,87.22170689655171,0.0,,30,29,2,0,-3.569529856880157e-11,5.699825531098276e-09,5.60440582830779e-12,,100.0
0.025,0.05,50,24,15.145870795953334,14.962424130587692,13.463979352488336,,15.145870795757693,14.962424130061057,13.46397935251177,,61.72233333333333(0.0226% 30/30),2240.7826923076923(263.40910769230766% 26/30),2705.4266666666667(169.10411666666664% 6/30),nan(nan% 0/30),36.304244692213395,43.83221632364298,,100.0,100.0,100.0,,50.2,1183.6538461538462,2977.8333333333335,,61.72233333333333,2240.7826923076923,2705.4266666666667,,0.0226,263.40910769230766,169.10411666666664,,30,26,6,0,1.9563929735492517e-10,5.266315930349754e-10,-2.3434587603787804e-11,,100.0
