$\epsilon$,$\theta$,$N$,SFLA Time F (s),ExactS Time F (s),Obj. Diff. (\%),SFLA Time (s),ExactS Time (s),SFLA Reli. (\%),ExactS Reli. (\%)
$0.05$,$0.5$,$50$,$118.17$,$643.19\ (5.44\times)$,$-0.010$,$376.25$,$812.62\ (2.16\times)$,$99.14$,$99.20$
$0.05$,$0.5$,$100$,$88.04$,$343.21\ (3.90\times)$,$0.001$,$512.4$,$473.42\ (0.92\times)$,$99.67$,$99.68$
$0.05$,$0.5$,$150$,$73.82$,$208.25\ (2.82\times)$,$-0.004$,$471.25$,$288.92\ (0.61\times)$,$99.80$,$99.80$
$0.05$,$0.1$,$50$,$135.24$,$776.37\ (5.74\times)$,$-0.008$,$576.6$,$1098.01\ (1.90\times)$,$76.01$,$76.88$
$0.05$,$0.1$,$100$,$91.07$,$437.21\ (4.80\times)$,$0.027$,$521.25$,$1064.36\ (2.04\times)$,$88.03$,$88.51$
$0.05$,$0.1$,$150$,$185.28$,$273.93\ (1.48\times)$,$0.061$,$451.55$,$834.81\ (1.85\times)$,$91.87$,$92.14$
$0.025$,$0.5$,$50$,$326.1$,$525.47\ (1.61\times)$,$-0.008$,$353.36$,$529.32\ (1.50\times)$,$100.00$,$100.00$
$0.025$,$0.5$,$100$,$148.47$,$754.92\ (5.08\times)$,$-0.011$,$459.6$,$827.44\ (1.80\times)$,$100.00$,$100.00$
$0.025$,$0.5$,$150$,$111.05$,$449.19\ (4.04\times)$,$-0.010$,$331.49$,$636.40\ (1.92\times)$,$100.00$,$100.00$
$0.025$,$0.1$,$50$,$159.67$,$141.29\ (0.88\times)$,$-0.015$,$186.68$,$173.72\ (0.93\times)$,$87.81$,$87.75$
$0.025$,$0.1$,$100$,$120.77$,$949.39\ (7.86\times)$,$-0.009$,$531.27$,$1079.66\ (2.03\times)$,$94.44$,$94.78$
$0.025$,$0.1$,$150$,$62.11$,$674.81\ (10.86\times)$,$-0.008$,$605.29$,$1100.77\ (1.82\times)$,$96.45$,$96.71$
